VEMCO DATA LOG,1.0.0,vdati-2.7.2-20201124-66707c-release
RECORD TYPE,FIELD,FIELD,FIELD,FIELD,FIELD,FIELD,FIELD,FIELD,FIELD,FIELD,FIELD,FIELD,FIELD,FIELD,FIELD,FIELD,FIELD,FIELD,FIELD,FIELD,FIELD,FIELD,FIELD,FIELD,FIELD
ATTITUDE_DESC,Device Time (UTC),Time,Time Offset (h),Time Correction (s),Model,Serial Number,Tilt (deg)
BATTERY_DESC,Device Time (UTC),Time,Time Offset (h),Time Correction (s),Model,Serial Number,Battery Position,Battery Type,Battery Serial Number,Battery Voltage (V),Battery Remaining (%)
CFG_CHANNEL_DESC,Device Time (UTC),Time,Time Offset (h),Time Correction (s),Model,Serial Number,Index,Frequency (kHz),Decoder,PPM Map ID,HR Coding ID
CFG_STATION_DESC,Device Time (UTC),Time,Time Offset (h),Time Correction (s),Model,Serial Number,Station Name,Latitude (deg),Longitude (deg)
CFG_STUDY_DESC,Device Time (UTC),Time,Time Offset (h),Time Correction (s),Model,Serial Number,Description
CFG_TRANSMITTER_DESC,Device Time (UTC),Time,Time Offset (h),Time Correction (s),Model,Serial Number,Transmission Type,Full ID,ID,Power Level,Min Delay (s),Max Delay (s)
CLOCK_REF_DESC,Device Time (UTC),Time,Time Offset (h),Time Correction (s),Model,Serial Number,External Time (UTC),External Difference (s),Source
CLOCK_SET_DESC,Device Time (UTC),Time,Time Offset (h),Time Correction (s),Model,Serial Number,Prior Device Time (UTC),Prior Difference (s),Source
DATA_ERROR_DESC,Type,Error,Page,Offset,Description
DATA_SOURCE_FILE_DESC,File Name,UUID,Type,Size,State
DEPTH_DESC,Device Time (UTC),Time,Time Offset (h),Time Correction (s),Model,Serial Number,Depth (m)
DEPTH_STATS_DESC,Device Time (UTC),Time,Time Offset (h),Time Correction (s),Model,Serial Number,Depth Min (m),Depth Max (m),Depth Mean (m),Sample Count,Accumulation Period (s)
DET_DESC,Device Time (UTC),Time,Time Offset (h),Time Correction (s),Model,Serial Number,Detection Type,Full ID,ID,Signal Strength (dB),Noise (dB),Quality Score,Decoder,Sensor Value,Sensor Unit
DET_FILTER_DESC,Filter Name,Details,Rejected Detections
DIAG_DESC,Device Time (UTC),Time,Time Offset (h),Time Correction (s),Model,Serial Number,Ambient Temperature (deg C),Noise Mean (mV),Tilt (deg),Depth (m),PPM Pings,PPM Detections
DIAG_FAST_DESC,Device Time (UTC),Time,Time Offset (h),Time Correction (s),Model,Serial Number,Ambient Temperature (deg C),Noise (mV),Tilt (deg),Depth (m)
EVENT_DESC,Device Time (UTC),Time,Time Offset (h),Time Correction (s),Model,Serial Number,Event Type,Event Details
EVENT_FAULT_DESC,Device Time (UTC),Time,Time Offset (h),Time Correction (s),Model,Serial Number,Fault Importance,Fault Code,Fault Description
EVENT_INIT_DESC,Device Time (UTC),Time,Time Offset (h),Time Correction (s),Model,Serial Number,Prior Device Time (UTC),External Time Zone,Firmware Version
EVENT_OFFLOAD_DESC,Device Time (UTC),Time,Time Offset (h),Time Correction (s),Model,Serial Number,External Time (UTC),External Time Zone,HR Total Accepted Detections,PPM Total Accepted Detections,Memory Remaining (%),Battery Remaining (%),Original File
HEALTH_VR2AR_DESC,Device Time (UTC),Time,Time Offset (h),Time Correction (s),Model,Serial Number,Memory Remaining (%),RTC Time
TEMP_DESC,Device Time (UTC),Time,Time Offset (h),Time Correction (s),Model,Serial Number,Ambient (deg C),Internal (deg C)
TEMP_STATS_DESC,Device Time (UTC),Time,Time Offset (h),Time Correction (s),Model,Serial Number,Ambient Min (deg C),Ambient Max (deg C),Ambient Mean (deg C),Sample Count,Accumulation Period (s)
DATA_SOURCE_FILE,VR2AR_545593_20200714_1.vrl,8a40aad5-66d4-f34f-8e7b-4a58913bfdb3,com.vemco.file.vrl.0207.ff02.ff02/5.1.1,569508,ORIGINAL
DET,2020-03-19 00:36:25.1245,2020-03-19 00:35:56.362494,,-28.762005878,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-03-19 00:46:58.1405,2020-03-19 00:46:29.370968,,-28.769531065,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-03-19 00:57:01.6725,2020-03-19 00:56:32.895794,,-28.776705753,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DIAG,2020-03-19 01:00:00,2020-03-19 00:59:31.221174,,-28.778825680,VR2AR-69,545593,20.01,640,4,27,49,6
TEMP,2020-03-19 01:00:00,2020-03-19 00:59:31.221174,,-28.778825680,VR2AR-69,545593,20.01,
DEPTH,2020-03-19 01:00:00,2020-03-19 00:59:31.221174,,-28.778825680,VR2AR-69,545593,27
BATTERY,2020-03-19 01:00:00,2020-03-19 00:59:31.221174,,-28.778825680,VR2AR-69,545593,PRIMARY,,,3.5993,
DET,2020-03-19 01:06:05.7685,2020-03-19 01:05:36.985326,,-28.783173875,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-03-19 01:15:11.2685,2020-03-19 01:14:42.478841,,-28.789658688,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-03-19 01:24:19.5765,2020-03-19 01:23:50.780323,,-28.796176881,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-03-19 01:33:33.0325,2020-03-19 01:33:04.229743,,-28.802756273,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-03-19 01:42:57.2525,2020-03-19 01:42:28.443036,,-28.809463626,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-03-19 01:52:43.0005,2020-03-19 01:52:14.184073,,-28.816426900,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DIAG,2020-03-19 02:00:00,2020-03-19 01:59:31.178378,,-28.821621877,VR2AR-69,545593,20.331,643,1,27,50,6
TEMP,2020-03-19 02:00:00,2020-03-19 01:59:31.178378,,-28.821621877,VR2AR-69,545593,20.331,
DEPTH,2020-03-19 02:00:00,2020-03-19 01:59:31.178378,,-28.821621877,VR2AR-69,545593,27
BATTERY,2020-03-19 02:00:00,2020-03-19 01:59:31.178378,,-28.821621877,VR2AR-69,545593,PRIMARY,,,3.5993,
DET,2020-03-19 02:03:11.8044,2020-03-19 02:02:42.980497,,-28.823902016,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-03-19 02:13:06.4444,2020-03-19 02:12:37.613429,,-28.830970997,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-03-19 02:23:52.5644,2020-03-19 02:23:23.725748,,-28.838651963,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-03-19 02:34:22.3044,2020-03-19 02:33:53.458261,,-28.846138207,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-03-19 02:44:19.2844,2020-03-19 02:43:50.431164,,-28.853235005,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-03-19 02:55:10.0844,2020-03-19 02:54:41.223428,,-28.860971606,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DIAG,2020-03-19 03:00:00,2020-03-19 02:59:31.135581,,-28.864418074,VR2AR-69,545593,20.469,608,2,27,52,6
TEMP,2020-03-19 03:00:00,2020-03-19 02:59:31.135581,,-28.864418074,VR2AR-69,545593,20.469,
DEPTH,2020-03-19 03:00:00,2020-03-19 02:59:31.135581,,-28.864418074,VR2AR-69,545593,27
BATTERY,2020-03-19 03:00:00,2020-03-19 02:59:31.135581,,-28.864418074,VR2AR-69,545593,PRIMARY,,,3.5993,
DET,2020-03-19 03:05:49.1844,2020-03-19 03:05:20.31583,,-28.868569120,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-03-19 03:16:04.8844,2020-03-19 03:15:36.008511,,-28.875888459,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-03-19 03:25:33.7844,2020-03-19 03:25:04.901748,,-28.882651447,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-03-19 03:35:28.4244,2020-03-19 03:34:59.534679,,-28.889720427,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-03-19 03:46:14.5444,2020-03-19 03:45:45.646998,,-28.897401393,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-03-19 03:56:43.8164,2020-03-19 03:56:14.911517,,-28.904882074,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DIAG,2020-03-19 04:00:00,2020-03-19 03:59:31.092785,,-28.907214271,VR2AR-69,545593,20.584,619,2,27,49,6
TEMP,2020-03-19 04:00:00,2020-03-19 03:59:31.092785,,-28.907214271,VR2AR-69,545593,20.584,
DEPTH,2020-03-19 04:00:00,2020-03-19 03:59:31.092785,,-28.907214271,VR2AR-69,545593,27
BATTERY,2020-03-19 04:00:00,2020-03-19 03:59:31.092785,,-28.907214271,VR2AR-69,545593,PRIMARY,,,3.5974,
DET,2020-03-19 04:06:39.8604,2020-03-19 04:06:10.948432,,-28.911967744,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-03-19 04:17:28.7884,2020-03-19 04:16:59.868717,,-28.919682092,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-03-19 04:28:03.6764,2020-03-19 04:27:34.74917,,-28.927229534,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-03-19 04:38:10.4844,2020-03-19 04:37:41.549956,,-28.934443166,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-03-19 04:47:21.6004,2020-03-19 04:46:52.659405,,-28.940994741,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-03-19 04:56:41.1404,2020-03-19 04:56:12.192753,,-28.947646459,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DIAG,2020-03-19 05:00:00,2020-03-19 04:59:31.049989,,-28.950010468,VR2AR-69,545593,19.851,592,2,27,51,6
TEMP,2020-03-19 05:00:00,2020-03-19 04:59:31.049989,,-28.950010468,VR2AR-69,545593,19.851,
DEPTH,2020-03-19 05:00:00,2020-03-19 04:59:31.049989,,-28.950010468,VR2AR-69,545593,27
BATTERY,2020-03-19 05:00:00,2020-03-19 04:59:31.049989,,-28.950010468,VR2AR-69,545593,PRIMARY,,,3.6003,
DET,2020-03-19 05:06:17.5284,2020-03-19 05:05:48.573901,,-28.954498462,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-03-19 05:16:27.6124,2020-03-19 05:15:58.650648,,-28.961751039,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-03-19 05:25:45.2804,2020-03-19 05:25:16.312019,,-28.968380502,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-03-19 05:35:17.9244,2020-03-19 05:34:48.949212,,-28.975187998,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-03-19 05:45:20.5204,2020-03-19 05:44:51.538048,,-28.982351559,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-03-19 05:56:23.0204,2020-03-19 05:55:54.030172,,-28.990227248,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DIAG,2020-03-19 06:00:00,2020-03-19 05:59:31.007193,,-28.992806665,VR2AR-69,545593,19.828,613,0,27,61,6
TEMP,2020-03-19 06:00:00,2020-03-19 05:59:31.007193,,-28.992806665,VR2AR-69,545593,19.828,
DEPTH,2020-03-19 06:00:00,2020-03-19 05:59:31.007193,,-28.992806665,VR2AR-69,545593,27
BATTERY,2020-03-19 06:00:00,2020-03-19 05:59:31.007193,,-28.992806665,VR2AR-69,545593,PRIMARY,,,3.5935,
DET,2020-03-19 06:04:47.6563,2020-03-19 06:04:18.660073,,-28.996226275,VR2AR-69,545593,PPM,A69-1601-60421,60421,,,,,,
DET,2020-03-19 06:07:25.0523,2020-03-19 06:06:56.054202,,-28.998097372,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-03-19 06:18:26.1484,2020-03-19 06:17:57.142443,,-29.005956372,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-03-19 06:29:25.8403,2020-03-19 06:28:56.826501,,-29.013798679,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-03-19 06:40:22.2563,2020-03-19 06:39:53.234697,,-29.021602042,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-03-19 06:51:12.5883,2020-03-19 06:50:43.558966,,-29.029333080,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DIAG,2020-03-19 07:00:00,2020-03-19 06:59:30.964397,,-29.035602862,VR2AR-69,545593,19.171,579,2,27,84,6
TEMP,2020-03-19 07:00:00,2020-03-19 06:59:30.964397,,-29.035602862,VR2AR-69,545593,19.171,
DEPTH,2020-03-19 07:00:00,2020-03-19 06:59:30.964397,,-29.035602862,VR2AR-69,545593,27
BATTERY,2020-03-19 07:00:00,2020-03-19 06:59:30.964397,,-29.035602862,VR2AR-69,545593,PRIMARY,,,3.5887,
DET,2020-03-19 07:01:50.7523,2020-03-19 07:01:21.71538,,-29.036919467,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-03-19 07:12:04.1123,2020-03-19 07:11:35.068089,,-29.044210988,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-03-19 07:21:27.8643,2020-03-19 07:20:58.813387,,-29.050912777,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-03-19 07:31:12.2083,2020-03-19 07:30:43.15044,,-29.057859361,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-03-19 07:41:37.7363,2020-03-19 07:41:08.671004,,-29.065295532,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-03-19 07:51:26.2923,2020-03-19 07:50:57.220007,,-29.072292188,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DIAG,2020-03-19 08:00:00,2020-03-19 07:59:30.9216,,-29.078399059,VR2AR-69,545593,19.987,630,3,28,48,6
TEMP,2020-03-19 08:00:00,2020-03-19 07:59:30.9216,,-29.078399059,VR2AR-69,545593,19.987,
DEPTH,2020-03-19 08:00:00,2020-03-19 07:59:30.9216,,-29.078399059,VR2AR-69,545593,28
BATTERY,2020-03-19 08:00:00,2020-03-19 07:59:30.9216,,-29.078399059,VR2AR-69,545593,PRIMARY,,,3.5974,
DET,2020-03-19 08:02:00.7123,2020-03-19 08:01:31.632465,,-29.079834067,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-03-19 08:12:07.0523,2020-03-19 08:11:37.965257,,-29.087042135,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-03-19 08:21:16.7643,2020-03-19 08:20:47.670722,,-29.093577019,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-03-19 08:30:33.4963,2020-03-19 08:30:04.396104,,-29.100195356,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-03-19 08:40:04.2683,2020-03-19 08:39:35.161319,,-29.106980598,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-03-19 08:50:03.1202,2020-03-19 08:49:34.0061,,-29.114099649,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DIAG,2020-03-19 09:00:00,2020-03-19 08:59:30.878804,,-29.121195256,VR2AR-69,545593,19.805,692,4,27,48,6
TEMP,2020-03-19 09:00:00,2020-03-19 08:59:30.878804,,-29.121195256,VR2AR-69,545593,19.805,
DEPTH,2020-03-19 09:00:00,2020-03-19 08:59:30.878804,,-29.121195256,VR2AR-69,545593,27
BATTERY,2020-03-19 09:00:00,2020-03-19 08:59:30.878804,,-29.121195256,VR2AR-69,545593,PRIMARY,,,3.5974,
DET,2020-03-19 09:00:57.6643,2020-03-19 09:00:28.542419,,-29.121880759,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-03-19 09:11:44.2522,2020-03-19 09:11:15.122632,,-29.129567288,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-03-19 09:22:14.4602,2020-03-19 09:21:45.32314,,-29.137059095,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-03-19 09:32:12.3762,2020-03-19 09:31:43.232032,,-29.144167021,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-03-19 09:43:05.5162,2020-03-19 09:42:36.364268,,-29.151931439,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-03-19 09:53:49.2962,2020-03-19 09:53:20.136615,,-29.159584588,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DIAG,2020-03-19 10:00:00,2020-03-19 09:59:30.836008,,-29.163991453,VR2AR-69,545593,19.896,708,2,27,48,6
TEMP,2020-03-19 10:00:00,2020-03-19 09:59:30.836008,,-29.163991453,VR2AR-69,545593,19.896,
DEPTH,2020-03-19 10:00:00,2020-03-19 09:59:30.836008,,-29.163991453,VR2AR-69,545593,27
BATTERY,2020-03-19 10:00:00,2020-03-19 09:59:30.836008,,-29.163991453,VR2AR-69,545593,PRIMARY,,,3.5974,
DET,2020-03-19 10:04:14.3562,2020-03-19 10:03:45.189184,,-29.167015197,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-03-19 10:14:01.5082,2020-03-19 10:13:32.334204,,-29.173995161,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-03-19 10:24:33.1202,2020-03-19 10:24:03.938696,,-29.181503659,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-03-19 10:34:33.8442,2020-03-19 10:34:04.655555,,-29.188644965,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-03-19 10:45:32.1322,2020-03-19 10:45:02.935729,,-29.196470583,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-03-19 10:56:25.7402,2020-03-19 10:55:56.535959,,-29.204240565,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DIAG,2020-03-19 11:00:00,2020-03-19 10:59:30.793212,,-29.206787650,VR2AR-69,545593,19.942,678,3,27,49,6
TEMP,2020-03-19 11:00:00,2020-03-19 10:59:30.793212,,-29.206787650,VR2AR-69,545593,19.942,
DEPTH,2020-03-19 11:00:00,2020-03-19 10:59:30.793212,,-29.206787650,VR2AR-69,545593,27
BATTERY,2020-03-19 11:00:00,2020-03-19 10:59:30.793212,,-29.206787650,VR2AR-69,545593,PRIMARY,,,3.5964,
DET,2020-03-19 11:07:10.4562,2020-03-19 11:06:41.244295,,-29.211904841,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-03-19 11:17:37.3882,2020-03-19 11:17:08.168842,,-29.219357703,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-03-19 11:27:28.7522,2020-03-19 11:26:59.525812,,-29.226387740,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-03-19 11:38:08.7882,2020-03-19 11:37:39.554203,,-29.233996380,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-03-19 11:48:26.3602,2020-03-19 11:47:57.118862,,-29.241337973,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-03-19 11:57:59.0042,2020-03-19 11:57:29.756054,,-29.248145469,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DIAG,2020-03-19 12:00:00,2020-03-19 11:59:30.750416,,-29.249583846,VR2AR-69,545593,20.4,677,3,27,48,6
TEMP,2020-03-19 12:00:00,2020-03-19 11:59:30.750416,,-29.249583846,VR2AR-69,545593,20.4,
DEPTH,2020-03-19 12:00:00,2020-03-19 11:59:30.750416,,-29.249583846,VR2AR-69,545593,27
BATTERY,2020-03-19 12:00:00,2020-03-19 11:59:30.750416,,-29.249583846,VR2AR-69,545593,PRIMARY,,,3.5974,
DET,2020-03-19 12:08:01.6002,2020-03-19 12:07:32.34489,,-29.255309029,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-03-19 12:19:03.6322,2020-03-19 12:18:34.36902,,-29.263179155,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-03-19 12:30:05.1962,2020-03-19 12:29:35.925156,,-29.271043716,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-03-19 12:41:05.3562,2020-03-19 12:40:36.077308,,-29.278891588,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-03-19 12:52:03.1762,2020-03-19 12:51:33.889488,,-29.286711642,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DIAG,2020-03-19 13:00:00,2020-03-19 12:59:30.707619,,-29.292380043,VR2AR-69,545593,20.607,693,3,27,40,5
TEMP,2020-03-19 13:00:00,2020-03-19 12:59:30.707619,,-29.292380043,VR2AR-69,545593,20.607,
DEPTH,2020-03-19 13:00:00,2020-03-19 12:59:30.707619,,-29.292380043,VR2AR-69,545593,27
BATTERY,2020-03-19 13:00:00,2020-03-19 12:59:30.707619,,-29.292380043,VR2AR-69,545593,PRIMARY,,,3.5984,
DET,2020-03-19 13:02:56.3162,2020-03-19 13:02:27.021723,,-29.294476061,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-03-19 13:13:40.0962,2020-03-19 13:13:10.79407,,-29.302129210,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-03-19 13:24:04.6882,2020-03-19 13:23:35.378645,,-29.309554254,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-03-19 13:33:50.9042,2020-03-19 13:33:21.587676,,-29.316523092,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-03-19 13:44:20.6442,2020-03-19 13:43:51.32019,,-29.324009336,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-03-19 13:54:17.1562,2020-03-19 13:53:47.825099,,-29.331100570,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DIAG,2020-03-19 14:00:00,2020-03-19 13:59:30.664823,,-29.335176240,VR2AR-69,545593,20.469,690,0,27,48,6
TEMP,2020-03-19 14:00:00,2020-03-19 13:59:30.664823,,-29.335176240,VR2AR-69,545593,20.469,
DEPTH,2020-03-19 14:00:00,2020-03-19 13:59:30.664823,,-29.335176240,VR2AR-69,545593,27
BATTERY,2020-03-19 14:00:00,2020-03-19 13:59:30.664823,,-29.335176240,VR2AR-69,545593,PRIMARY,,,3.5945,
DET,2020-03-19 14:05:07.4882,2020-03-19 14:04:38.149368,,-29.338831609,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-03-19 14:15:45.6522,2020-03-19 14:15:16.305782,,-29.346417995,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-03-19 14:25:59.0122,2020-03-19 14:25:29.65849,,-29.353709516,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-03-19 14:35:22.7641,2020-03-19 14:34:53.403688,,-29.360411304,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-03-19 14:45:07.1081,2020-03-19 14:44:37.740742,,-29.367357888,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-03-19 14:55:32.6361,2020-03-19 14:55:03.261305,,-29.374794060,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DIAG,2020-03-19 15:00:00,2020-03-19 14:59:30.622027,,-29.377972437,VR2AR-69,545593,20.124,678,2,27,56,6
TEMP,2020-03-19 15:00:00,2020-03-19 14:59:30.622027,,-29.377972437,VR2AR-69,545593,20.124,
DEPTH,2020-03-19 15:00:00,2020-03-19 14:59:30.622027,,-29.377972437,VR2AR-69,545593,27
BATTERY,2020-03-19 15:00:00,2020-03-19 14:59:30.622027,,-29.377972437,VR2AR-69,545593,PRIMARY,,,3.5984,
DET,2020-03-19 15:05:20.7241,2020-03-19 15:04:51.342314,,-29.381785151,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-03-19 15:15:53.7401,2020-03-19 15:15:24.350789,,-29.389310340,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-03-19 15:25:56.8041,2020-03-19 15:25:27.40762,,-29.396479464,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-03-19 15:34:59.9641,2020-03-19 15:34:30.561163,,-29.402936459,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-03-19 15:44:03.1241,2020-03-19 15:43:33.714706,,-29.409393453,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-03-19 15:53:06.2841,2020-03-19 15:52:36.868249,,-29.415850449,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DIAG,2020-03-19 16:00:00,2020-03-19 15:59:30.579231,,-29.420768634,VR2AR-69,545593,19.896,679,1,27,48,6
TEMP,2020-03-19 16:00:00,2020-03-19 15:59:30.579231,,-29.420768634,VR2AR-69,545593,19.896,
DEPTH,2020-03-19 16:00:00,2020-03-19 15:59:30.579231,,-29.420768634,VR2AR-69,545593,27
BATTERY,2020-03-19 16:00:00,2020-03-19 15:59:30.579231,,-29.420768634,VR2AR-69,545593,PRIMARY,,,3.5984,
DET,2020-03-19 16:02:09.4441,2020-03-19 16:01:40.021792,,-29.422307444,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-03-19 16:11:12.6041,2020-03-19 16:10:43.175335,,-29.428764439,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-03-19 16:20:15.7641,2020-03-19 16:19:46.328878,,-29.435221434,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-03-19 16:29:19.3921,2020-03-19 16:28:49.950416,,-29.441683993,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-03-19 16:38:23.4881,2020-03-19 16:37:54.039947,,-29.448152114,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-03-19 16:47:28.9881,2020-03-19 16:46:59.533463,,-29.454636927,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-03-19 16:56:36.8281,2020-03-19 16:56:07.36695,,-29.461149557,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DIAG,2020-03-19 17:00:00,2020-03-19 16:59:30.536435,,-29.463564831,VR2AR-69,545593,19.737,694,2,27,56,7
TEMP,2020-03-19 17:00:00,2020-03-19 16:59:30.536435,,-29.463564831,VR2AR-69,545593,19.737,
DEPTH,2020-03-19 17:00:00,2020-03-19 16:59:30.536435,,-29.463564831,VR2AR-69,545593,27
BATTERY,2020-03-19 17:00:00,2020-03-19 16:59:30.536435,,-29.463564831,VR2AR-69,545593,PRIMARY,,,3.5974,
DET,2020-03-19 17:05:49.8161,2020-03-19 17:05:20.348376,,-29.467723386,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-03-19 17:15:12.6321,2020-03-19 17:14:43.157685,,-29.474414049,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-03-19 17:24:55.5721,2020-03-19 17:24:26.090756,,-29.481343942,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
